"","day","batch","staining","cell","ID","length","fname","neurite","filament","parent","cellline","species"
"58","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",326.589195934609,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",25,2,23,"SandraA","Chimpanzee/Bonobo"
"59","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",360.566557003079,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",31,2,29,"SandraA","Chimpanzee/Bonobo"
"60","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",372.609310827544,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",19,2,18,"SandraA","Chimpanzee/Bonobo"
"61","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",4.54421431518179,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",9,1,8,"SandraA","Chimpanzee/Bonobo"
"62","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",4.78203512079594,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",2,1,1,"SandraA","Chimpanzee/Bonobo"
"63","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",40.2434601728071,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",6,2,5,"SandraA","Chimpanzee/Bonobo"
"64","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",422.783603950521,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",15,2,13,"SandraA","Chimpanzee/Bonobo"
"65","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",46.4965620801798,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",28,2,25,"SandraA","Chimpanzee/Bonobo"
"66","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",468.710523728982,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",13,2,8,"SandraA","Chimpanzee/Bonobo"
"67","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",47.481838203736,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",21,2,19,"SandraA","Chimpanzee/Bonobo"
"68","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",5.30448634267759,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",10,2,9,"SandraA","Chimpanzee/Bonobo"
"69","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",6.0927056722945,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",17,2,15,"SandraA","Chimpanzee/Bonobo"
"70","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",6.66043066792611,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",30,2,29,"SandraA","Chimpanzee/Bonobo"
"71","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",6.88283993496744,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",4,2,3,"SandraA","Chimpanzee/Bonobo"
"72","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",60.4077458479176,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",8,1,6,"SandraA","Chimpanzee/Bonobo"
"73","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",68.1712652860128,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",5,2,3,"SandraA","Chimpanzee/Bonobo"
"74","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",7.63039212468841,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",24,2,21,"SandraA","Chimpanzee/Bonobo"
"75","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",7.67096342646361,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",29,2,28,"SandraA","Chimpanzee/Bonobo"
"76","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",8.79687640279561,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",26,2,23,"SandraA","Chimpanzee/Bonobo"
"77","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",845.813351337295,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",16,2,15,"SandraA","Chimpanzee/Bonobo"
"78","d14","Batch2","stain20180125","Bagheera","Bagheera_III.ims",889.061420199023,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera_III.ims.len",18,2,0,"SandraA","Chimpanzee/Bonobo"
"79","d14","Batch2","stain20180125","Bagheera","Bagheera.ims",13.9158717830492,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera.ims.len",10,2,9,"SandraA","Chimpanzee/Bonobo"
"80","d14","Batch2","stain20180125","Bagheera","Bagheera.ims",19.2408142245456,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera.ims.len",1,2,0,"SandraA","Chimpanzee/Bonobo"
"81","d14","Batch2","stain20180125","Bagheera","Bagheera.ims",19.7017642515198,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera.ims.len",2,2,1,"SandraA","Chimpanzee/Bonobo"
"82","d14","Batch2","stain20180125","Bagheera","Bagheera.ims",201.641658279962,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera.ims.len",6,2,5,"SandraA","Chimpanzee/Bonobo"
"83","d14","Batch2","stain20180125","Bagheera","Bagheera.ims",26.6754485267756,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera.ims.len",5,2,2,"SandraA","Chimpanzee/Bonobo"
"84","d14","Batch2","stain20180125","Bagheera","Bagheera.ims",37.2609484068989,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera.ims.len",8,2,0,"SandraA","Chimpanzee/Bonobo"
"85","d14","Batch2","stain20180125","Bagheera","Bagheera.ims",4.05112766767825,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera.ims.len",9,2,8,"SandraA","Chimpanzee/Bonobo"
"86","d14","Batch2","stain20180125","Bagheera","Bagheera.ims",49.7209651852741,"lengths/d14/Batch2/stain20180125/Bagheera/Bagheera.ims.len",3,2,1,"SandraA","Chimpanzee/Bonobo"
